# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  1 05:52:15 2023
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN imdist:         Distance [pc]
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN image:          Stellar Age [My]
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
rowid,plntname,ra_str,ra,dec_str,dec,imdelthmag,imdeltjmag,imdeltkmag,imdeltlpmag,imangsep,imsep,imtruesep,impa,imdist,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imhmag,imkmag,imlpmag,implnjmag,implnhmag,implnkmag,implnlpmag,imstype,immass,image,imlum,implmass,implstype,impltemp,implradius,immodel,immodeldef,imnotes
84,Oph 11 b,16:22:25.21,245.6050580,-24:05:13.9,-24.08720800,0.69,8.200000000000e-01,5.200000000000e-01,,1.943,242.9,,176.2,125.0,Gemini:Gillett,NIRI,2006-07-01,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...660.1492C/abstract target=ref>Close et al. 2007</a>,1,0,0,1,352.67858,17.8032159,15.04,14.19,13.92,,1.586000000000e+01,14.88,1.444000000000e+01,,,,,,14,M9.5,2175,,"DUSTY, Chabrier et al. 2000",1,"The imjmag, imhmag, and imkmag refer to Oph 11 A, not necessarily a star. The system is possibly a Brown Dwarf Binary; The imkmag, implnkmag, and imdeltkmag values are in Ks-band."
85,Oph 11 b,16:22:25.21,245.6050580,-24:05:13.9,-24.08720800,,,,3.600000000000e-01,1.943,242.9,,176.2,125.0,Keck:I,NIRC,2006-07-07,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2007ApJ...660.1492C/abstract target=ref>Close et al. 2007</a>,1,0,0,1,352.67858,17.8032159,,,,,,,,,,,,,14,M9.5,2175,,"DUSTY, Chabrier et al. 2000",0,imdeltlpmag is in Ls-band
86,HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,12.57,1.390000000000e+01,1.179000000000e+01,1.042000000000e+01,1.730,68.2,,,39.4,Keck:II,NIRC2,"2004-07-14, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.928000000000e+01,17.85,1.703000000000e+01,1.564000000000e+01,A5V,1.50,60,4.9,7,L,870,1.200000000000e+00,Baraffe et al. (2003),1,
87,HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,12.57,,,,1.716,67.6,,59.0,39.4,Keck:II,NIRC2,2004-07-14,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,17.85,,,A5V,1.50,60,4.9,7,L,870,1.200000000000e+00,,0,
88,HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,12.57,,,,1.713,67.5,,62.0,39.4,Keck:II,NIRC2,2007-10-25,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,18.16,,,A5V,1.50,60,4.9,7,L,870,1.200000000000e+00,,0,Delta H mag and planet H mag. is in CH4S.
89,HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,12.57,,,,1.723,67.9,,62.4,39.4,Keck:II,NIRC2,2008-07-11,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,17.85,,,A5V,1.50,60,4.9,7,L,870,1.200000000000e+00,,0,
90,HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,12.57,1.390000000000e+01,,1.042000000000e+01,1.724,67.9,,62.3,39.4,Keck:II,NIRC2,2008-08-12,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.928000000000e+01,17.85,,1.564000000000e+01,A5V,1.50,60,4.9,7,L,870,1.200000000000e+00,,0,
91,HR 8799 b,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,1.390000000000e+01,1.179000000000e+01,1.042000000000e+01,1.720,67.9,,62.4,39.4,Keck:II,NIRC2,2008-09-18,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.928000000000e+01,,1.703000000000e+01,1.564000000000e+01,A5V,1.50,60,4.9,7,L,870,1.200000000000e+00,,0,
92,HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.63,1.225000000000e+01,1.087000000000e+01,9.500000000000e+00,0.950,37.4,,,39.4,Keck:II,NIRC2,"2004-07-14, 2007-10-17, 2007-10-25, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.763000000000e+01,16.91,1.611000000000e+01,1.472000000000e+01,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,Baraffe et al. (2003),1,
93,HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.63,,,,0.960,37.8,,320.4,39.4,Keck:II,NIRC2,2004-07-14,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,16.91,,,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
94,HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.63,,,,0.958,37.8,,314.7,39.4,Keck:II,NIRC2,2007-10-25,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,17.23,,,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,Delta H mag and planet H mag is in CH4S.
95,HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.63,,,,0.961,37.9,,316.8,39.4,Keck:II,NIRC2,2008-07-11,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,16.91,,,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
96,HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.63,1.225000000000e+01,,9.500000000000e+00,0.964,38.0,,317.1,39.4,Keck:II,NIRC2,2008-08-12,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.763000000000e+01,16.91,,1.472000000000e+01,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
97,HR 8799 c,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,1.225000000000e+01,1.087000000000e+01,9.500000000000e+00,0.964,38.0,,317.1,39.4,Keck:II,NIRC2,2008-09-18,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.763000000000e+01,,1.611000000000e+01,1.472000000000e+01,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
98,HR 8799 d,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.56,1.286000000000e+01,1.085000000000e+01,9.320000000000e+00,0.630,24.8,,,39.4,Keck:II,NIRC2,"2007-10-17, 2008-07-11, 2008-08-12, 2008-09-18",,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.824000000000e+01,16.84,1.609000000000e+01,1.454000000000e+01,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,1,
99,HR 8799 d,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.56,,,,0.618,24.4,,199.7,39.4,Keck:II,NIRC2,2008-07-11,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,,16.84,,,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
100,HR 8799 d,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,11.56,1.286000000000e+01,,9.320000000000e+00,0.621,24.5,,200.4,39.4,Keck:II,NIRC2,2008-08-12,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.824000000000e+01,16.84,,1.454000000000e+01,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
101,HR 8799 d,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,1.286000000000e+01,1.085000000000e+01,9.320000000000e+00,0.621,24.5,,200.4,39.4,Keck:II,NIRC2,2008-09-18,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,5.38,5.28,5.24,5.22,1.824000000000e+01,,1.609000000000e+01,1.454000000000e+01,A5V,1.50,60,4.9,10,L,1090,1.200000000000e+00,,0,
102,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,1.067000000000e+01,9.370000000000e+00,,14.5,,242.0,39.4,Keck:II,NIRC2,2009-11-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,,,5.24,5.22,,,1.591000000000e+01,1.459000000000e+01,A5V,1.50,30,4.9,7,,,,,0,Delta K mag and planet K mag is Ks.
103,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,1.067000000000e+01,9.370000000000e+00,,14.5,,242.0,39.4,Keck:II,NIRC2,2009-11-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,,,5.24,5.22,,,1.591000000000e+01,1.459000000000e+01,A5V,1.50,60,4.9,10,,,,,1,Delta K mag and planet K mag is Ks.
104,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,,,0.369,14.5,,234.0,39.4,Keck:II,,2009-07-31,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,0,0,1,92.76421,-35.5750779,,,,,,,,,,,,4.9,,,,,,0,
105,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,,9.370000000000e+00,0.368,14.5,,234.0,39.4,Keck:II,,2009-08-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,0,0,1,92.76421,-35.5750779,,,,5.22,,,,1.459000000000e+01,,,,4.9,,,,,,0,
106,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,,9.370000000000e+00,0.362,14.3,,237.2,39.4,Keck:II,,2009-11-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,0,0,1,92.76421,-35.5750779,,,,5.22,,,,1.459000000000e+01,,,,4.9,,,,,,0,
107,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,1.067000000000e+01,,0.368,14.5,,242.0,39.4,Keck:II,NIRC2,2009-11-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,,,5.24,,,,1.591000000000e+01,,,,,4.9,,,,,,0,Delta K mag and planet K mag is Ks.
108,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,,9.370000000000e+00,0.368,14.5,,241.6,39.4,Keck:II,NIRC2,2009-11-01,,<a href=https://ui.adsabs.harvard.edu/abs/2010Natur.468.1080M/abstract target=ref>Marois et al. 2010</a>,1,1,0,1,92.76421,-35.5750779,,,,5.22,,,,1.459000000000e+01,,,,4.9,,,,,,0,
109,HR 8799 e,23:07:28.72,346.8696590,+21:08:03.3,21.13425060,,,,9.370000000000e+00,0.371,14.6,,244.1,39.4,Keck:II,,2010-10-30,,<a href=https://ui.adsabs.harvard.edu/abs/2008Sci...322.1348M/abstract target=ref>Marois et al. 2008</a>,1,1,0,1,92.76421,-35.5750779,,,,5.22,,,,1.459000000000e+01,,,100,4.9,,,,,,0,
110,HR 2562 b,06:50:01.02,102.5042270,-60:14:56.9,-60.24914550,11.70,,,,0.619,20.3,,297.6,33.6,Gemini:South,GPI,2016-01-25,,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,,,,,,16.83,,,F5V,1.30,600,,30,L7,1200,1.110000000000e+00,Saumon & Marley (2008),1,
111,HR 2562 b,06:50:01.02,102.5042270,-60:14:56.9,-60.24914550,,,1.060000000000e+01,,0.618,20.3,,297.4,33.6,Gemini:South,GPI,2016-01-28,,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,,,,,,,1.563000000000e+01,,F5V,1.30,600,,30,L7,1200,1.110000000000e+00,Saumon & Marley (2008),0,K photometry is actually in K1. The paper lists photometry values for K1 and K2.
112,HR 2562 b,06:50:01.02,102.5042270,-60:14:56.9,-60.24914550,,,1.040000000000e+01,,0.619,20.3,,297.5,33.6,Gemini:South,GPI,2016-02-25,,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,,,,,,,1.543000000000e+01,,F5V,1.30,600,,30,L7,1200,1.110000000000e+00,Saumon & Marley (2008),0,K photometry is in K2-band
113,HR 2562 b,06:50:01.02,102.5042270,-60:14:56.9,-60.24914550,,1.260000000000e+01,,,0.620,20.3,,297.9,33.6,Gemini:South,GPI,2016-02-28,,<a href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,1,1,1,1,270.17577,-23.4917962,,,,,1.793000000000e+01,,,,F5V,1.30,600,,30,L7,1200,1.110000000000e+00,Saumon & Marley (2008),0,
114,HIP 78530 b,16:01:55.46,240.4810640,-21:58:49.4,-21.98038860,,,,,4.529,710.0,,140.3,156.7,Gemini:Gillett,NIRI,2008-05-24,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...42L/abstract target=ref>Lafreniere et al. 2011</a>,0,0,0,1,350.87063,22.6810591,,,,,,,,,B9V,2.50,5,,,M7-M9,2800,,Drift-Phoenix atmosphere models (Witte et al.2009; Helling et al.2008; Dehn et al.2007),0,
115,HIP 78530 b,16:01:55.46,240.4810640,-21:58:49.4,-21.98038860,7.44,8.130000000000e+00,7.270000000000e+00,,4.533,710.0,,140.3,156.7,Gemini:Gillett,NIRI,2009-07-02,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...42L/abstract target=ref>Lafreniere et al. 2011</a>,0,0,0,1,350.87063,22.6810591,6.93,6.95,6.90,,1.506000000000e+01,14.39,1.417000000000e+01,,B9V,2.50,5,,24,,,,Chabrier et al. 2000,1,
116,HIP 78530 b,16:01:55.46,240.4810640,-21:58:49.4,-21.98038860,,,,,4.536,710.0,,140.3,156.7,Gemini:Gillett,NIRI,2010-08-30,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...42L/abstract target=ref>Lafreniere et al. 2011</a>,0,0,0,1,350.87063,22.6810591,,,,,,,,,B9V,2.50,5,,22,,,,"TUCSON, Burrows et al. 1997",0,Model does not correspond to date
117,HD 95086 b,10:57:03.02,164.2625890,-68:40:02.4,-68.66734310,,,,9.790000000000e+00,0.624,56.4,,151.8,90.4,VLT:Yepun,NACO,"2012-01-11, 2013-02-14, 2013-03-14",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.0752820,,,6.79,6.70,,,1.769000000000e+01,1.649000000000e+01,A8 III,1.60,17,,5,,1000,,"COND, Baraffe et al. (2003)",1,
118,HD 95086 b,10:57:03.02,164.2625890,-68:40:02.4,-68.66734310,,,,9.790000000000e+00,0.624,56.4,,151.8,90.4,VLT:Yepun,NACO,"2012-01-11, 2013-02-14, 2013-03-14",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.0752820,,,6.79,6.70,,,1.769000000000e+01,1.649000000000e+01,A8 III,1.60,10,,4,,1000,,"COND, Baraffe et al. (2003)",0,
119,HD 95086 b,10:57:03.02,164.2625890,-68:40:02.4,-68.66734310,,,,9.790000000000e+00,0.624,56.4,,151.8,90.4,VLT:Yepun,NACO,2012-01-11,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.0752820,,,6.79,6.70,,,,1.649000000000e+01,A8 III,1.60,14,,4,,1000,,,0,
120,HD 95086 b,10:57:03.02,164.2625890,-68:40:02.4,-68.66734310,,,,1.090000000000e+01,0.624,56.4,,151.8,90.4,VLT:Yepun,NACO,2013-02-14,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.0752820,,,6.79,6.70,,,1.769000000000e+01,,A8 III,1.60,14,,4,,1000,,,0,The planet was not detected in Ks-band.
121,HD 95086 b,10:57:03.02,164.2625890,-68:40:02.4,-68.66734310,,,,9.710000000000e+00,0.624,56.4,,151.8,90.4,VLT:Yepun,NACO,2013-03-14,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...772L..15R/abstract target=ref>Rameau et al. 2013</a>,1,0,0,1,292.80292,-8.0752820,,,6.79,6.70,,,,1.641000000000e+01,A8 III,1.60,14,,4,,1000,,,0,
122,HD 106906 b,12:17:53.19,184.4716340,-55:58:31.9,-55.97552490,,,,,7.135,656.4,,307.1,92.0,HST,ACS,2004-12-01,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref>Bailey et al. 2014</a>,1,1,0,1,298.21888,6.5889667,6.95,6.68,6.68,6.70,,,,,F5V,1.50,13,,11,L2.5 &plusmn; 1,1800,,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",0,The imhmag is in H2-band
123,HD 106906 b,12:17:53.19,184.4716340,-55:58:31.9,-55.97552490,8.70,,8.780000000000e+00,,7.120,655.0,,307.1,92.0,Magellan:Clay,NICI,2011-03-21,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref>Bailey et al. 2014</a>,1,1,0,1,298.21888,6.5889667,6.95,6.68,6.68,6.70,,15.38,1.546000000000e+01,,F5V,1.50,13,,11,L2.5 &plusmn; 1,1800,,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",0,"The imhmag, implnhmag, and imdelthmag are all in H2-band."
124,HD 106906 b,12:17:53.19,184.4716340,-55:58:31.9,-55.97552490,,1.070000000000e+01,8.780000000000e+00,7.940000000000e+00,7.110,654.1,,307.3,92.0,Magellan:Clay,MagAO/Clio2,2013-04-04 2013-04-12,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref>Bailey et al. 2014</a>,1,1,0,1,298.21888,6.5889667,6.95,6.68,6.68,6.70,1.760000000000e+01,,1.546000000000e+01,1.460000000000e+01,F5V,1.50,13,,11,L2.5 &plusmn; 1,1800,,"DUSTY (cloud) and COND (cloud-free), Chabrier et al. 2000, Baraffe et al. 2003",1,The imhmag is in H2-band.
125,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,16.28,1.580400000000e+01,1.538200000000e+01,1.290000000000e+01,2.499,43.9,,326.1,17.6,Subaru,"IRCS, HiCIAO","2011-03-26, 2011-05-22, 2011-08-12, 2011-08-15, 2012-02-28, 2012-04-12, 2012-05-25",,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,1.991000000000e+01,20.14,1.919000000000e+01,1.684000000000e+01,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",1,
126,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,16.28,,,,2.479,43.5,,327.9,17.6,Subaru,HiCIAO,2011-03-26,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,1,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,20.14,,,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
127,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,16.28,,,,2.483,43.6,,327.4,17.6,Subaru,HiCIAO,2011-05-22,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,1,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,20.14,,,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
128,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,,,,1.290000000000e+01,2.481,43.6,,326.8,17.6,Subaru,IRCS,2011-08-12,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,,1.684000000000e+01,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
129,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,,,,1.290000000000e+01,2.448,43.0,,325.8,17.6,Subaru,IRCS,2011-08-15,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,,1.684000000000e+01,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
130,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,,,1.538200000000e+01,,2.483,43.6,,326.5,17.6,Subaru,HiCIAO,2012-02-28,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,1,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,1.919000000000e+01,,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
131,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,,1.580400000000e+01,,,2.487,43.7,,326.5,17.6,Subaru,HiCIAO,2012-04-12,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,1,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,1.991000000000e+01,,,,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
132,GJ 504 b,13:16:46.52,199.1938170,+09:25:27.0,9.42415619,,,,1.290000000000e+01,2.499,43.9,,326.1,17.6,Subaru,IRCS,2012-05-25,,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,3.86,3.81,3.94,,,,1.684000000000e+01,G0V,1.22,160,0.3,4,T/Y,510,,"COND, Baraffe et al. 2003",0,
133,2MASS J12073346-3932539 b,12:07:33.47,181.8894470,-39:32:54.0,-39.54833200,5.70,5.500000000000e+00,4.980000000000e+00,3.900000000000e+00,0.778,55.0,,125.8,70.0,VLT:Yepun,NACO,2004-04-27,,<a href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref>Chauvin et al. 2004</a>,1,0,0,1,293.79036,22.5432974,13.00,12.39,11.95,11.38,1.850000000000e+01,18.09,1.693000000000e+01,1.528000000000e+01,M8.5,,8,,6,L5-L9.5,1300,,"Non-gray model, Burrows et al. (1997)",0,
